         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10044, -30.2921, -47.6786, -2.00929, 40.1864, -32.0686, 2.65414, -30.2913, -47.5939, 1.02218
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10045, -2.6689, 28.9417, 0.467307, -82.0225, 48.4174, 1.07819, -2.67101, 28.924, 0.336512
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10046, -2.203, 25.6088, -1.69589, -59.2749, 35.033, 1.78026, -2.19667, 25.5498, 1.58169
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10047, 11.0442, -33.4003, -0.268993, -53.182, 97.2187, 3.80873, 11.0398, -33.4149, 2.89306
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10048, -48.3256, 2.4846, 0.825107, -78.1306, 22.0199, 1.9489, -48.299, 2.5211, 0.915505
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10049, 33.459, -39.9905, -0.111893, -38.9223, 95.7583, 0.194801, 33.4584, -39.9928, 3.12193
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10050, 24.1738, 15.1447, 2.69221, 11.941, -69.2256, 1.73184, 24.1679, 15.1518, 2.76585
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10051, 41.5748, 34.0881, -3.03649, 34.373, -16.342, 2.98437, 41.5757, 34.094, 0.0312256
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10052, -13.462, -16.6209, 2.27171, 21.7889, -39.5322, 3.27496, -13.4599, -16.6146, 2.30207
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10053, -13.5528, 42.5339, 1.06791, -44.2907, -0.086, 4.2174, -13.5524, 42.5813, 1.12888
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10054, -32.5599, -43.616, -0.886793, -98.4698, 64.3554, 0.748529, -32.5595, -43.576, 2.16947
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10055, -7.8589, 27.8416, 0.113007, 61.4109, -24.4599, 3.29905, -7.85954, 27.835, 0.13754
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10056, -11.3434, -49.5943, 1.00431, 56.1609, -73.7229, 2.10743, -11.3437, -49.5894, 0.899512
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10057, -12.7655, 48.0976, -2.55189, -2.9191, -45.2033, 2.20418, -12.7686, 48.1083, 0.555114
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10058, 13.5463, 28.5535, -3.13659, 52.4846, 13.0373, 0.882369, 13.5471, 28.5558, 0.059722
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10059, 28.4513, 33.766, -0.132693, 27.2194, -7.2827, 0.773477, 28.4505, 33.7623, 3.04428
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10060, 31.8386, -48.9465, 1.17241, 77.7431, 13.5173, 1.05109, 31.8356, -48.9294, 1.09211
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10061, -33.8908, -0.7302, 0.220007, -25.6409, 24.6526, 2.27402, -33.8354, -0.717504, 0.206351
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10062, 8.3905, 34.3501, -2.39649, 15.0722, -53.4095, 0.927, 8.39019, 34.3503, 0.795812
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10063, -26.1727, 19.4943, -1.57059, -2.8706, 34.2082, 0.535748, -26.1733, 19.4883, 1.53504
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10064, -41.137, -9.7654, -3.04329, 22.1812, 61.9237, 3.51114, -41.1291, -9.76396, 0.0119302
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10065, 39.8996, -21.7888, 2.78011, -70.1028, -17.1732, 2.84612, 39.8968, -21.7851, 2.83213
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10066, -21.9566, 8.3447, 2.57661, 15.0429, -47.1165, 2.38767, -21.9531, 8.33121, 2.48498
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
