         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
48, 2.1252, 4.06414, 86.3037, 0.0594822, 0.533634, 0.0887713, 0.0907612, 0.0910192, 0.4294, -0.1426, 2.1522, 4.32911, 89.9711, 0.0470491, 0.520445, 0.179926, 0.181185, 0.183945
49, 2.1522, 4.32911, 89.9711, 0.0470491, 0.520445, 0.179926, 0.181185, 0.183945, 0.2729, 0.0819, 2.17102, 4.57942, 95.6999, 0.0270464, 0.48441, 0.208102, 0.21054, 0.212798
50, 2.17102, 4.57942, 95.6999, 0.0270464, 0.48441, 0.208102, 0.21054, 0.212798, 0.3889, -0.1767, 2.17814, 4.81412, 102.627, 0.000842264, 0.453572, 0.283895, 0.285845, 0.291729
51, 2.17814, 4.81412, 102.627, 0.000842264, 0.453572, 0.283895, 0.285845, 0.291729, 0.434, -0.1706, 2.17051, 5.03396, 112.016, -0.0309543, 0.420388, 0.369717, 0.370489, 0.379136
52, 2.17051, 5.03396, 112.016, -0.0309543, 0.420388, 0.369717, 0.370489, 0.379136, -0.445, 0.3258, 2.14404, 5.23916, 120.55, -0.0785459, 0.406074, 0.191632, 0.200797, 0.195498
53, 2.14404, 5.23916, 120.55, -0.0785459, 0.406074, 0.191632, 0.200797, 0.195498, 0.2802, -0.1379, 2.09615, 5.43362, 125.707, -0.111283, 0.371146, 0.203069, 0.20548, 0.210844
54, 2.09615, 5.43362, 125.707, -0.111283, 0.371146, 0.203069, 0.20548, 0.210844, 0.1188, 0.3336, 2.03665, 5.60634, 130.955, -0.120092, 0.313545, 0.146394, 0.149587, 0.149121
55, 2.03665, 5.60634, 130.955, -0.120092, 0.313545, 0.146394, 0.149587, 0.149121, -0.1895, 0.091, 1.9699, 5.75616, 133.924, -0.150072, 0.291091, 0.0615687, 0.0659688, 0.0645305
56, 1.9699, 5.75616, 133.924, -0.150072, 0.291091, 0.0615687, 0.0659688, 0.0645305, -0.3694, -0.0701, 1.88462, 5.90128, 134.553, -0.19655, 0.297188, -0.0153962, -0.0110624, -0.0124998
57, 1.88462, 5.90128, 134.553, -0.19655, 0.297188, -0.0153962, -0.0110624, -0.0124998, -0.0857, 0.2176, 1.78215, 6.04662, 133.146, -0.205945, 0.278863, -0.0808629, -0.0787694, -0.0797987
58, 1.78215, 6.04662, 133.146, -0.205945, 0.278863, -0.0808629, -0.0787694, -0.0797987, -0.2094, 0.1182, 1.67558, 6.18591, 129.971, -0.217739, 0.278109, -0.139622, -0.139036, -0.139343
59, 1.67558, 6.18591, 129.971, -0.217739, 0.278109, -0.139622, -0.139036, -0.139343, 0.3407, -0.1747, 1.56784, 6.32296, 127.155, -0.212458, 0.270807, -0.0355138, -0.0356093, -0.0358014
60, 1.56784, 6.32296, 127.155, -0.212458, 0.270807, -0.0355138, -0.0356093, -0.0358014, 0.1915, 0.4784, 1.47051, 6.44748, 126.107, -0.17457, 0.224086, -0.0603596, -0.0605988, -0.0603685
61, 1.47051, 6.44748, 126.107, -0.17457, 0.224086, -0.0603596, -0.0605988, -0.0603685, 0.3425, 0.3539, 1.3935, 6.54674, 124.21, -0.131169, 0.169422, -0.064003, -0.0641025, -0.0640268
62, 1.3935, 6.54674, 124.21, -0.131169, 0.169422, -0.064003, -0.0641025, -0.0640268, -0.0873, 0.4837, 1.33525, 6.62265, 121.222, -0.103813, 0.137166, -0.157958, -0.158532, -0.157572
63, 1.33525, 6.62265, 121.222, -0.103813, 0.137166, -0.157958, -0.158532, -0.157572, -0.2712, -0.0089, 1.28477, 6.69252, 115.904, -0.103907, 0.154175, -0.202867, -0.204291, -0.203269
64, 1.28477, 6.69252, 115.904, -0.103907, 0.154175, -0.202867, -0.204291, -0.203269, -0.2748, 0.2741, 1.23458, 6.77203, 109.077, -0.0945414, 0.159739, -0.279609, -0.281554, -0.279482
65, 1.23458, 6.77203, 109.077, -0.0945414, 0.159739, -0.279609, -0.281554, -0.279482, 0.1458, 0.0022, 1.19094, 6.85212, 101.525, -0.0777939, 0.153857, -0.228812, -0.229701, -0.229396
66, 1.19094, 6.85212, 101.525, -0.0777939, 0.153857, -0.228812, -0.229701, -0.229396, -0.3913, 0.2219, 1.1558, 6.93172, 94.2943, -0.063076, 0.170922, -0.296018, -0.299218, -0.295523
67, 1.1558, 6.93172, 94.2943, -0.063076, 0.170922, -0.296018, -0.299218, -0.295523, 0.0037, -0.1639, 1.12888, 7.01976, 86.3081, -0.0440833, 0.184774, -0.240581, -0.242343, -0.241998
68, 1.12888, 7.01976, 86.3081, -0.0440833, 0.184774, -0.240581, -0.242343, -0.241998, -0.3726, 0.3274, 1.11209, 7.11412, 78.5974, -0.0235893, 0.186816, -0.320443, -0.323815, -0.319974
69, 1.11209, 7.11412, 78.5974, -0.0235893, 0.186816, -0.320443, -0.323815, -0.319974, 0.1395, -0.4695, 1.1075, 7.21354, 70.8836, 0.00632311, 0.211243, -0.183995, -0.185271, -0.187096
70, 1.1075, 7.21354, 70.8836, 0.00632311, 0.211243, -0.183995, -0.185271, -0.187096, -0.1226, 0.3127, 1.11523, 7.31597, 65.714, 0.0232069, 0.195908, -0.206862, -0.209212, -0.206369
71, 1.11523, 7.31597, 65.714, 0.0232069, 0.195908, -0.206862, -0.209212, -0.206369, -0.1625, -0.3403, 1.13442, 7.41724, 60.2684, 0.0580352, 0.217497, -0.157139, -0.159788, -0.159835
72, 1.13442, 7.41724, 60.2684, 0.0580352, 0.217497, -0.157139, -0.159788, -0.159835, -0.0072, -0.2266, 1.17208, 7.53077, 56.844, 0.088969, 0.230828, -0.0829326, -0.0847566, -0.0852406
73, 1.17208, 7.53077, 56.844, 0.088969, 0.230828, -0.0829326, -0.0847566, -0.0852406, 0.3493, -0.2044, 1.22032, 7.64414, 56.1668, 0.0998587, 0.217919, 0.0414809, 0.0413994, 0.0398245
74, 1.22032, 7.64414, 56.1668, 0.0998587, 0.217919, 0.0414809, 0.0413994, 0.0398245, 0.4983, 0.2257, 1.265, 7.73983, 58.4497, 0.0756713, 0.161296, 0.107436, 0.107772, 0.107263
75, 1.265, 7.73983, 58.4497, 0.0756713, 0.161296, 0.107436, 0.107772, 0.107263, -0.1508, -0.1605, 1.30338, 7.81896, 61.5666, 0.0844322, 0.168261, 0.102488, 0.102376, 0.102344
76, 1.30338, 7.81896, 61.5666, 0.0844322, 0.168261, 0.102488, 0.102376, 0.102344, -0.346, 0.1164, 1.34872, 7.90851, 63.2023, 0.0954023, 0.188103, 0.00106355, 0.0010913, 0.00107397
77, 1.34872, 7.90851, 63.2023, 0.0954023, 0.188103, 0.00106355, 0.0010913, 0.00107397, -0.391, 0.3752, 1.3978, 8.00513, 61.0031, 0.099174, 0.193837, -0.158385, -0.158782, -0.15835
78, 1.3978, 8.00513, 61.0031, 0.099174, 0.193837, -0.158385, -0.158782, -0.15835, 0.3851, -0.2267, 1.44693, 8.09932, 57.4593, 0.0973206, 0.182033, -0.0519018, -0.0518869, -0.052446
