         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
37, -1.77718, -0.382305, 63.0771, -0.0445259, -0.0685654, 0.115604, 0.11578, 0.115742, 0.4216, 0.1554, -1.80382, -0.427583, 66.6579, -0.0647857, -0.120031, 0.142688, 0.143509, 0.143009
38, -1.80382, -0.427583, 66.6579, -0.0647857, -0.120031, 0.142688, 0.143509, 0.143009, -0.4075, -0.3351, -1.83177, -0.479546, 70.497, -0.0409656, -0.0712082, 0.11623, 0.1161, 0.116049
39, -1.83177, -0.479546, 70.497, -0.0409656, -0.0712082, 0.11623, 0.1161, 0.116049, 0.1133, -0.1152, -1.8498, -0.512019, 73.982, -0.03249, -0.0622262, 0.135236, 0.135528, 0.135172
40, -1.8498, -0.512019, 73.982, -0.03249, -0.0622262, 0.135236, 0.135528, 0.135172, -0.3473, 0.2368, -1.86433, -0.541325, 76.4205, -0.0263966, -0.057567, 0.0150741, 0.0148806, 0.015268
41, -1.86433, -0.541325, 76.4205, -0.0263966, -0.057567, 0.0150741, 0.0148806, 0.015268, 0.1639, 0.483, -1.8786, -0.578494, 75.4806, -0.0343213, -0.10414, -0.0701877, -0.0701438, -0.0700883
42, -1.8786, -0.578494, 75.4806, -0.0343213, -0.10414, -0.0701877, -0.0701438, -0.0700883, -0.3006, -0.0785, -1.89505, -0.629799, 72.8048, -0.0267599, -0.0836009, -0.112303, -0.112325, -0.112265
43, -1.89505, -0.629799, 72.8048, -0.0267599, -0.0836009, -0.112303, -0.112325, -0.112265, -0.1531, 0.0745, -1.90781, -0.669513, 69.1185, -0.0246832, -0.0755661, -0.144159, -0.14413, -0.14422
44, -1.90781, -0.669513, 69.1185, -0.0246832, -0.0755661, -0.144159, -0.14413, -0.14422, -0.3562, -0.1468, -1.91655, -0.697462, 64.6374, -0.0103449, -0.037166, -0.167401, -0.167187, -0.167383
45, -1.91655, -0.697462, 64.6374, -0.0103449, -0.037166, -0.167401, -0.167187, -0.167383, -0.4726, 0.0608, -1.9167, -0.704866, 58.8288, 0.00972918, 0.00537794, -0.24511, -0.245027, -0.245142
46, -1.9167, -0.704866, 58.8288, 0.00972918, 0.00537794, -0.24511, -0.245027, -0.245142, -0.2606, -0.2624, -1.90618, -0.69302, 51.8726, 0.0372831, 0.0469078, -0.225423, -0.225552, -0.225483
47, -1.90618, -0.69302, 51.8726, 0.0372831, 0.0469078, -0.225423, -0.225552, -0.225483, -0.3802, 0.472, -1.88627, -0.668237, 44.0394, 0.0364692, 0.045134, -0.342688, -0.342813, -0.34261
48, -1.88627, -0.668237, 44.0394, 0.0364692, 0.045134, -0.342688, -0.342813, -0.34261, 0.2988, 0.4791, -1.87673, -0.653912, 33.7878, -0.0106023, 0.00404356, -0.352983, -0.352976, -0.352934
49, -1.87673, -0.653912, 33.7878, -0.0106023, 0.00404356, -0.352983, -0.352976, -0.352934, -0.2268, -0.1595, -1.88096, -0.652305, 24.2197, 0.010171, 0.0111866, -0.312857, -0.313187, -0.312786
50, -1.88096, -0.652305, 24.2197, 0.010171, 0.0111866, -0.312857, -0.313187, -0.312786, 0.1355, -0.2403, -1.87359, -0.646414, 16.8307, 0.0211889, 0.0129555, -0.193839, -0.193847, -0.193906
51, -1.87359, -0.646414, 16.8307, 0.0211889, 0.0129555, -0.193839, -0.193847, -0.193906, 0.147, -0.3801, -1.85739, -0.638994, 13.3593, 0.0390692, 0.0153849, -0.0487716, -0.0487785, -0.0489749
52, -1.85739, -0.638994, 13.3593, 0.0390692, 0.0153849, -0.0487716, -0.0487785, -0.0489749, 0.368, 0.246, -1.84409, -0.633227, 12.9136, -6.22195e-05, 0.00450986, 0.00398314, 0.00411366, 0.00406903
53, -1.84409, -0.633227, 12.9136, -6.22195e-05, 0.00450986, 0.00398314, 0.00411366, 0.00406903, -0.3861, -0.313, -1.83816, -0.629951, 12.9821, 0.0470973, 0.0140421, -0.00478172, -0.00487265, -0.00485409
54, -1.83816, -0.629951, 12.9821, 0.0470973, 0.0140421, -0.00478172, -0.00487265, -0.00485409, 0.4355, 0.0509, -1.81955, -0.624329, 13.6588, 0.0146784, 0.00544244, 0.0632694, 0.0633141, 0.0632589
55, -1.81955, -0.624329, 13.6588, 0.0146784, 0.00544244, 0.0632694, 0.0633141, 0.0632589, 0.1322, 0.1106, -1.81748, -0.623083, 15.7602, -0.0121312, -0.00212262, 0.0725098, 0.0725202, 0.072513
56, -1.81748, -0.623083, 15.7602, -0.0121312, -0.00212262, 0.0725098, 0.0725202, 0.072513, -0.0216, 0.1393, -1.8263, -0.625076, 17.3129, -0.0195124, -0.00478193, 0.0317779, 0.0317704, 0.0317615
57, -1.8263, -0.625076, 17.3129, -0.0195124, -0.00478193, 0.0317779, 0.0317704, 0.0317615, -0.4997, -0.0884, -1.8299, -0.625627, 17.0386, 0.0214657, 0.00768526, -0.0555051, -0.0557014, -0.0555271
58, -1.8299, -0.625627, 17.0386, 0.0214657, 0.00768526, -0.0555051, -0.0557014, -0.0555271, 0.023, -0.0037, -1.81548, -0.620798, 15.2208, 0.0245918, 0.00825612, -0.0584129, -0.0584379, -0.0584318
59, -1.81548, -0.620798, 15.2208, 0.0245918, 0.00825612, -0.0584129, -0.0584379, -0.0584318, 0.4065, 0.2484, -1.81107, -0.61885, 14.0793, -0.0224966, -0.00436752, -0.0186104, -0.0185025, -0.0185382
60, -1.81107, -0.61885, 14.0793, -0.0224966, -0.00436752, -0.0186104, -0.0185025, -0.0185382, 0.1473, -0.106, -1.82824, -0.622613, 14.3355, -0.0319824, -0.00709624, 0.0374551, 0.0374547, 0.037455
61, -1.82824, -0.622613, 14.3355, -0.0319824, -0.00709624, 0.0374551, 0.0374547, 0.037455, 0.4559, -0.1742, -1.85222, -0.628411, 17.0153, -0.0608009, -0.0157091, 0.156866, 0.156826, 0.156878
62, -1.85222, -0.628411, 17.0153, -0.0608009, -0.0157091, 0.156866, 0.156826, 0.156878, -0.3898, 0.0647, -1.87818, -0.635066, 20.7334, -0.0432897, -0.0110636, 0.0735397, 0.0735407, 0.0735396
63, -1.87818, -0.635066, 20.7334, -0.0432897, -0.0110636, 0.0735397, 0.0735407, 0.0735396, -0.219, -0.0259, -1.89145, -0.637807, 21.7465, -0.0132544, -0.00106338, 0.00690002, 0.00690532, 0.00689874
64, -1.89145, -0.637807, 21.7465, -0.0132544, -0.00106338, 0.00690002, 0.00690532, 0.00689874, -0.4618, 0.4035, -1.89669, -0.638111, 19.7503, -0.00330219, 0.00158335, -0.160532, -0.160865, -0.160164
65, -1.89669, -0.638111, 19.7503, -0.00330219, 0.00158335, -0.160532, -0.160865, -0.160164, -0.1628, -0.4225, -1.8897, -0.634819, 15.2472, 0.0384966, 0.0134369, -0.122042, -0.122176, -0.122226
